Image,longitude,latitude,typology ,stories,Economic_Stratum
a35b560d-760f-4169-b8b2-d8abcd01da02,"-75,555107","6,239718",MCF/LWAL/DUC,3,2
5c467082-5465-4627-a886-bedd6160bc68,"-75,579537","6,241481",CR/LFINF/DNO,6,3
c7b2fc23-041e-41b8-ae6c-7c9141d5a1cb,"-75,598585","6,233705",MUR/LWAL/DNO,2,2
dcfcaa50-f356-478b-868b-54002c7c037a,"-75,590835","6,244438",MUR/LWAL/DNO,2,2
ec1d4e6b-37a3-409c-a97c-56ef170f1c2d,"-75,600612","6,235063",CR/LFINF/DNO,3,2
40e13b89-4fbe-4c5e-b27e-ca5366e40dba,"-75,593294","6,253426",CR/LFINF/DNO,4,3
06b0682c-b794-4721-b8f9-4bbd4d95324b,"-75,575409","6,188175",CR/LFINF/DNO,2,3
005ff4c1-1b20-4582-827a-16b72c194d34,"-75,565713","6,239633",MUR/LWAL/DNO,3,1
24caa5ba-36a6-4d4e-a7fd-e7f1c50fd6a3,"-75,592184","6,226235",MUR/LWAL/DNO,2,2
f919b10a-36f7-4c45-a870-f31dfdb28b65,"-75,58061","6,274082",MUR/LWAL/DNO,3,2
94eb7d12-de26-4df5-82bd-d81c85144e6d,"-75,565281","6,211001",CR/LFINF/DNO,4,2
772ca287-571c-4b93-9ba1-06d6c43138e9,"-75,605245","6,246588",MUR/LWAL/DNO,2,3
2d865cb3-987b-487a-bd27-e001f1c9199c,"-75,565329","6,210934",CR/LFINF/DNO,3,2
bdbb5f8c-dd1e-48a8-a167-554e67a1997e,"-75,571084","6,18252",CR/LFINF/DUC,10,3
9ae62593-be4d-49ec-8ef1-aae8b60b6517,"-75,613883","6,242533",CR/LWAL/DUC,10,3
04a43097-c806-4a56-9580-61e502cc6fa1,"-75,604182","6,228534",MUR/LWAL/DNO,1,3
0996036c-d6bf-4758-a1a1-03f782272fd5,"-75,56","6,22",CR/LFINF/DUC,14,3
94dc130d-e57e-4728-b701-6d5a55f13dcd,"-75,580496","6,187359",CR/LFINF/DUC,13,3
fe1a79a0-7e0a-4f4f-97e0-50ed41f431aa,"-75,590091","6,251086",MUR/LWAL/DNO,3,2
486e1b54-f980-40d0-8d84-ed9f5b4802fe,"-75,610269","6,243931",MUR/LWAL/DNO,2,3
d12eb062-ab2d-43b3-9d87-84639c5ae21e,"-75,589589","6,251631",MUR/LWAL/DNO,2,2
a153d7c6-e23e-4125-8a49-52a1937bb02b,"-75,559397","6,23999",CR/LFINF/DNO,3,2
dc1e8181-7c67-448b-bd7f-b01c3c778098,"-75,610671","6,244164",MUR/LWAL/DNO,3,3
3bcfeddd-c186-4ae3-9fee-5331ad551fe3,"-75,565933","6,298185",MUR/LWAL/DNO,4,1
2d60d5f8-9eb4-424e-8cde-9c9166e66743,"-75,5567098","6,245028334",MUR/LWAL/DNO,1,2
00b00f7c-a368-4963-aaa4-fc966f869324,"-75,596399","6,249442",CR/LFINF/DNO,3,2
63603e31-5de6-4494-ae92-41cfb3a620ae,"-75,604829","6,245715",MUR/LWAL/DNO,2,3
cabffa81-d3d2-47b2-b5c2-bd17a4e7326d,"-75,557603","6,28448",MUR/LWAL/DNO,1,2
574e3aa7-0ee1-4ad4-ba6e-eaa0b594f3d2,"-75,56","6,18",CR/LFINF/DUC,2,3
218f6f4f-d22b-4979-8b54-63cdfefd7d98,"-75,553613","6,282812",MUR/LWAL/DNO,3,2
c3a88b26-dec0-4a69-9812-5c3706687f73,"-75,548715","6,272008",MUR/LWAL/DNO,3,1
2208c9d5-0984-4380-b699-5c425dc3232d,"-75,565147","6,306294",MUR/LWAL/DNO,2,2
8ae890b4-49be-4033-b05c-f8536d362548,"-75,580905","6,275861",CR/LFINF/DNO,2,2
1d4c676d-a079-4332-a5a1-4fb903fd5b9b,"-75,56162666","6,257222408",CR/LFINF/DNO,3,2
fdfcfc44-1196-422c-b532-950924c55073,"-75,58346","6,238994",MR/LWAL/DNO,2,2
43dcabc0-b0a7-439f-a1d2-9aee0eac244d,"-75,56831","6,260244",MUR/LWAL/DNO,2,2
6da45dac-f91f-425d-90b6-1b06369750af,"-75,593942","6,247482",MUR/LWAL/DNO,2,3
3b31201b-8852-4471-a7b4-0cdcfac9dfa7,"-75,616723","6,27649",MUR/LWAL/DNO,2,1
014ef301-ed63-4fff-8955-bb16ecac7469,"-75,586507","6,250904",CR/LFINF/DNO,4,2
2bb253c5-b140-457e-8cbb-ba307790392d,"-75,55663787","6,243913699",MUR/LWAL/DNO,2,2
16c3e53d-e0f1-451e-8c68-c6bec3887638,"-75,57072304","6,260078558",MUR/LWAL/DNO,3,2
effd6f1d-fce9-41a2-a280-7cc81de400e3,"-75,562317","6,275275",MUR/LWAL/DNO,2,1
ebd38b97-b5df-4a8e-bd7a-35b0718efc1f,"-75,562093","6,235559",MUR/LWAL/DNO,3,2
65146d90-4809-4079-be01-167688d259e3,"-75,603598","6,220984",CR/LDUAL/DUC,20,2
9aafe759-fa06-45d9-9412-ddbbeaa89055,"-75,559613","6,285041",CR/LFINF/DUC,2,2
3db8e88a-a926-4d0e-aa46-7753230fb574,"-75,614712","6,258501",MUR/LWAL/DNO,3,2
d0be46ff-6e6d-46f4-af3f-44fd2d6393c4,"-75,581682","6,228352",CR/LFINF/DNO,3,2
197502e6-c7ea-4c44-8973-7bca069becd2,"-75,553919","6,306487",MUR/LWAL/DNO,3,1
df69c957-06b1-46aa-9a07-9de273840b2d,"-75,596785","6,265047",MUR/LWAL/DNO,2,3
5a0830dd-b160-4899-990d-4d223c3d980f,"-75,545657","6,244213",MUR/LWAL/DNO,2,1
0c6f34cb-8518-4e88-8554-d859abb7928f,"-75,606019","6,221567",CR/LFINF/DNO,2,2
0e554843-9aac-4293-a87e-be23fd00093a,"-75,58467054","6,273316355",CR/LFINF/DNO,2,2
38587ee2-3e46-4991-a2e8-5e88dccbb813,"-75,566907","6,295375",MUR/LWAL/DNO,3,2
0a2af551-8faf-4413-8a42-4491acffbc95,"-75,592299","6,2506",MUR/LWAL/DNO,3,2
5ace32da-2b99-478b-b79b-461d8560be80,"-75,597037","6,271049",CR/LFINF/DNO,4,2
0bb8e993-a6e7-4478-be36-bd6fdeaa188e,"-75,560371","6,23344",MUR/LWAL/DNO,3,2
6cfd5e0e-7238-4b60-97cd-54087493a51f,"-75,551608","6,237384",MR/LWAL/DNO,2,2
a30219ec-5ece-4a4b-a3d0-77229f5f0d88,"-75,561285","6,238286",MUR/LWAL/DNO,3,2
5d2a333d-b0aa-40c2-92a7-386834854d8c,"-75,550809","6,274096",MUR/LWAL/DNO,1,2
e1adff42-4161-4596-8889-a034e4cc8690,"-75,593933","6,220572",MUR/LWAL/DNO,3,2
028d5c80-8c23-4ef6-9bb6-736776f94e33,"-75,544146","6,287536",MUR/LWAL/DNO,3,1
338ce005-1946-4c76-b3b8-6c38bb822f30,"-75,594884","6,227283",CR/LFINF/DNO,1,2
625c086d-7892-4c99-94dd-ab63f18d58bd,"-75,607469","6,229897",CR/LFINF/DNO,3,2
ac03951b-7f2c-4919-a24f-8d30d235bd8e,"-75,5926","6,22077",MUR/LWAL/DNO,4,2
f33dcb93-d858-4e3f-a1c5-0fdac49221d4,"-75,554439","6,277533",MUR/LWAL/DNO,4,2
eb97b2e5-9468-4f10-8212-a3a7caa6db2a,"-75,56","6,18",CR/LFINF/DUC,11,3
bfc1760a-dc1c-4d68-929c-ba0bab77910b,"-75,564675","6,206499",CR/LFINF/DNO,2,3
960e0801-43f8-4997-b763-15ece3004f3a,"-75,598367","6,233944",CR/LFINF/DNO,3,2
c4307361-c594-4284-a8ef-f5937c0e296f,"-75,601431","6,265592",MUR/LWAL/DNO,3,3
8dd3e076-12bf-43ac-b979-8ec73ee01304,"-75,563396","6,307447",MUR/LWAL/DNO,2,2
c41e8fe0-e178-42b0-867a-a02a5d93d291,"-75,596746","6,256415",MUR/LWAL/DNO,3,3
91f45129-655b-474f-82e4-d934f2880d90,"-75,565625","6,296504",MUR/LWAL/DNO,3,1
8d0011f9-7827-4968-bf06-831ff6c1125b,"-75,595774","6,251454",MUR/LWAL/DNO,2,3
ef65d628-2161-4654-91a7-480f9199033d,"-75,57145","6,200694",CR/LFINF/DNO,2,3
39be613d-7804-44e5-8d9e-7d45376e91ab,"-75,556266","6,285925",MUR/LWAL/DNO,1,2
3cfe3a66-ffe6-48b9-a61e-e1f9727da4de,"-75,565311","6,305146",MUR/LWAL/DNO,2,2
52d00075-5c06-49da-b265-e7bab50187eb,"-75,591826","6,246794",CR/LFINF/DUC,8,2
20677494-5745-4e2f-9ec2-c501f5c323b4,"-75,607995","6,243922",CR/LFINF/DNO,3,3
0349f7f6-cd88-4c5e-846b-6e7ef60c7e51,"-75,597559","6,245811",CR/LFINF/DUC,11,3
3d1c06e2-cdaa-47c8-b3ad-ffc34e5fc0c4,"-75,559407","6,24831",MUR/LWAL/DNO,1,2
33347e4f-92d0-42bf-83c3-82b017bd938c,"-75,568802","6,238975",MUR/LWAL/DNO,4,3
ac7c18cb-1867-45b6-8bea-b45f59b74808,"-75,586979","6,252583",CR/LFINF/DNO,4,2
4a66ed77-4056-4ae6-b90f-9010f4554da6,"-75,591002","6,251721",MUR/LWAL/DNO,4,2
bc1450f5-2b07-4932-832e-1f25017af990,"-75,562272","6,275686",MUR/LWAL/DNO,2,1
ffed04d6-76f2-4722-9ed4-bb85340c8edd,"-75,593244","6,261365",MUR/LWAL/DNO,3,3
92aa9b32-491f-410e-a33d-ba6379780554,"-75,616439","6,252255",CR/LFINF/DNO,4,2
c2289421-e3a2-46a9-848b-7eff598f4fbd,"-75,568121","6,217409",CR/LFINF/DUC,7,3
aa5db726-1488-4d13-8818-300d68ca7562,"-75,545763","6,244141",MUR/LWAL/DNO,2,1
a274fa07-fb00-4125-a41b-022a843ce1ba,"-75,608869","6,254921",MUR/LWAL/DNO,3,2
10f985cf-0a3e-4ef6-b89a-72f43f4f0928,"-75,560165","6,267306",MUR/LWAL/DNO,1,1
e537296a-b925-4cfe-b1ad-698e9d6d6237,"-75,569668","6,206563",CR/LFINF/DUC,10,3
01ceefa9-4751-426b-bfdd-793f423bc5ec,"-75,561897","6,228105",MUR/LWAL/DNO,3,1
be9da2cd-1b77-4269-abf1-9dcc08ac776d,"-75,611342","6,259004",MUR/LWAL/DNO,4,2
999920b7-e409-49a9-bcf1-ffa96c45ce1f,"-75,604053","6,258573",MUR/LWAL/DNO,2,2
fa2a6bef-333d-42b0-924d-dd741476043b,"-75,559738","6,24799",MUR/LWAL/DNO,6,2
dc05adbf-aead-46ff-827c-ba27540052da,"-75,609073","6,2497",MUR/LWAL/DNO,2,2
6fd0fdba-b33a-40ba-a311-36f97049ee5b,"-75,601425","6,254971",CR/LFINF/DUC,8,2
1022cbd7-4745-45da-a8b2-e5fdd40db84c,"-75,584844","6,282762",CR/LFINF/DNO,5,1
8cbfbf0f-10fd-4ac9-9f39-679e1c212237,"-75,590647","6,199951",MUR/LWAL/DNO,3,1
f1041089-2ebb-4d4e-9b2b-8bbf522ba0ec,"-75,602208","6,252804",CR/LFINF/DUC,5,2
e184b304-0426-4cfa-bea9-172ac6a21d72,"-75,61028","6,245265",CR/LFINF/DUC,12,3
b9aea02f-4857-4d49-a6d9-2256e56eeb0c,"-75,552121","6,236618",MUR/LWAL/DNO,3,2
9896baf8-f4eb-4288-bf99-cb1d0042242f,"-75,59738769","6,276445999",MUR/LWAL/DNO,2,2
60c6d18f-6993-4bda-97e3-a0613938789a,"-75,553683","6,244467",MUR/LWAL/DNO,1,2
d8427806-a02a-4c47-b98b-f7836d9f4825,"-75,605116","6,251869",CR/LFINF/DNO,3,2
d78e7753-fabd-4bee-a297-8741bb4a7cd6,"-75,555782","6,288588",MUR/LWAL/DNO,2,2
dc3b2e7f-d84d-48c0-ae1a-9093ceb42da3,"-75,57151","6,18318",CR/LFINF/DUC,8,3
21a494b1-fcca-4242-ac3e-ac7ade003708,"-75,582889","6,241766",CR/LFINF/DUC,13,3
df592c0c-38e3-4a23-b021-26c1f6b268e4,"-75,617156","6,276395",MUR/LWAL/DNO,2,1
af7a4bb4-b914-41eb-ba48-0693c339bdf8,"-75,58392","6,213928",MUR/LWAL/DNO,2,2
e053a234-ee8d-4d0b-a61a-381a04b0c74e,"-75,559495","6,288592",MUR/LWAL/DNO,2,2
b8d84ba4-404d-4bbc-b790-fdd6db1ffde3,"-75,58658","6,225226",MUR/LWAL/DNO,3,2
2d97c0e3-2d9e-4567-a730-b0f9a4687efb,"-75,552928","6,273025",MUR/LWAL/DNO,2,2
002b20e2-9522-427e-9e31-fadc6885c5b5,"-75,597971","6,245348",MUR/LWAL/DNO,1,3
73a34347-0633-4357-b83a-e70e36d4253b,"-75,564531","6,305342",MUR/LWAL/DNO,2,2
ecb40557-9b2d-4687-8a87-ca6f15f8bc43,"-75,5519578","6,241113567",MUR/LWAL/DNO,3,2
08d7d2ed-5b58-4b4e-b802-f6727a4ef2a0,"-75,593044","6,228907",MUR/LWAL/DNO,2,2
f43cd12e-9bea-48ff-8ae1-31de7fe7e2b8,"-75,567035","6,226727",MUR/LWAL/DNO,3,3
a2d72019-5c39-484f-a18c-79325c3d3e97,"-75,598026","6,226366",CR/LFINF/DNO,4,2
8c7d6776-969b-4234-8013-3973d9c880ea,"-75,58","6,21",CR/LFINF/DUC,14,3
d13d64f4-9253-4785-83d1-766b0ca3f258,"-75,603912","6,242245",MUR/LWAL/DNO,2,3
bdbeaa4e-9de6-46de-8724-95230e011ee0,"-75,598804","6,262668",MUR/LWAL/DNO,1,3
85359571-408f-4aaf-b6bb-1c59a780a3b0,"-75,56620638","6,244518217",MUR/LWAL/DNO,4,2
0a126495-3937-4183-9a17-4474842c12b1,"-75,591577","6,226179",MUR/LWAL/DNO,2,2
80d41f0f-ac73-4672-b8eb-86f6b733cdf7,"-75,56793","6,281185",MUR/LWAL/DNO,1,1
c6153479-5758-4de7-957a-cec699fefa71,"-75,539403","6,231252",MUR/LWAL/DNO,3,1
60bcb9a9-802e-46a6-babd-a545926af6e0,"-75,591059","6,259646",MUR/LWAL/DNO,2,3
c2bde65b-10f8-4b58-8cc0-e5e3cb0c8d5e,"-75,61479","6,281896",CR/LWAL/DUC,10,1
795a7b37-8519-46be-8f00-eb96f7ff1021,"-75,574082","6,206001",CR/LDUAL/DUC,16,3
e38f1c05-25a1-45f7-a817-afe39b97c114,"-75,601228","6,251518",CR/LFINF/DNO,6,2
810d1b7f-c453-4b37-87b1-62a66fea3946,"-75,568452","6,238188",MUR/LWAL/DNO,3,3
48d840c0-4d21-4603-ae40-32021dad3805,"-75,56794649","6,264044321",MUR/LWAL/DNO,3,2
63c298d0-e8d2-4379-a042-708919559343,"-75,568399","6,199587",CR/LFINF/DNO,2,3
03eed913-2ab8-466a-b63d-311d69096758,"-75,594954","6,217684",CR/LFINF/DNO,4,2
2c10cdb4-18f7-495d-ab21-02ad265aaddc,"-75,556853","6,211046",CR/LFINF/DUC,7,3
65698ea7-563f-4ee7-aeab-7ea2556e5a57,"-75,556764","6,285701",CR/LFINF/DNO,3,2
82209aa4-cb2f-45e1-b825-9cb0f30d4526,"-75,593955","6,253822",MUR/LWAL/DNO,1,3
8d081818-698a-4f14-a794-5dd632c0c1e1,"-75,602021","6,261074",MUR/LWAL/DNO,1,2
0919e19a-55bb-40f4-bd22-1fe162670ccb,"-75,582952","6,244298",CR/LFINF/DUC,9,3
f344dc84-2cc5-4f54-a1c6-47c7dbe50007,"-75,602704","6,225072",MUR/LWAL/DNO,2,2
b1077b21-d30d-474b-8d41-2b88f4601517,"-75,59960495","6,281091199",MUR/LWAL/DNO,1,2
7b60e266-247f-4498-9f29-85da3c083eb0,"-75,594236","6,221956",CR/LFINF/DNO,3,2
a8d31d2e-74b6-45f5-83e2-1ab0c7975cd0,"-75,552877","6,273269",MUR/LWAL/DNO,3,2
e7dafe2f-16af-4edc-a010-8df320061061,"-75,586954","6,246727",CR/LFINF/DUC,4,2
ec71b41c-2d08-4769-80f1-e3b0822433fd,"-75,594331","6,220433",MCF/LWAL/DNO,3,2
61bc6f3c-f4aa-4609-bab7-a51fdb67b63c,"-75,598104","6,219807",MUR/LWAL/DNO,3,2
d5c56490-d87c-4e06-8225-22423b6a0ed4,"-75,594187","6,230601",CR/LFINF/DUC,4,2
3e5d38d5-8d5c-4490-bd6b-5b5a8bb71fb3,"-75,60449","6,252229",CR/LFINF/DNO,3,2
38706558-10ec-4fa8-9606-56cecf1d01e1,"-75,601689","6,260593",CR/LFINF/DUC,10,2
4cd3af96-6742-4836-b907-a811e5c65182,"-75,58","6,2",MUR/LWAL/DNO,2,3
a948ae29-8b6c-4eb3-8b89-73646de23da4,"-75,593797","6,223376",MUR/LWAL/DNO,2,2
5cfaeb12-2f3e-462d-8f3e-d59d8f86dea8,"-75,543737","6,22685",MUR/LWAL/DNO,1,1
5bcb57e0-780f-4198-bd06-c27784f19c62,"-75,541668","6,236735",MUR/LWAL/DNO,3,1
6be138a6-2ccb-45d6-aeee-d0c33d97b228,"-75,580049","6,274042",CR/LFINF/DNO,3,2
21ec0fe1-824d-448e-b761-d1b968961b07,"-75,565209","6,306281",MUR/LWAL/DNO,3,2
8a0c8a99-59a0-4439-99de-5c6cc95dac5a,"-75,611059","6,253988",MUR/LWAL/DNO,2,2
e9921117-2678-4c56-9ebd-07927cd256b0,"-75,603031","6,233666",MUR/LWAL/DNO,1,2
0520379c-7af9-4eb7-ad25-20c723dd4d39,"-75,603433","6,233643",MUR/LWAL/DNO,3,2
21b10027-ecee-4251-86c1-4e59e3f316cc,"-75,582955","6,258677",CR/LFINF/DUC,8,2
444383d1-656a-42e2-83be-2b75ea369c3d,"-75,596454","6,25576",MUR/LWAL/DNO,3,3
13b1c3e5-a1d0-4cc6-b79e-47cf2e2a753d,"-75,549031","6,26856",MUR/LWAL/DNO,3,1
3ec53796-60c9-48f6-bb9d-530ccc4614f7,"-75,544137","6,287484",MUR/LWAL/DNO,3,1
81dbc82b-4a8d-408b-880d-f360104990cd,"-75,592945","6,233573",CR/LFINF/DNO,3,3
34623e46-5f42-473f-9147-c10c3e438fea,"-75,605537","6,274795",MUR/LWAL/DNO,1,1
b6fb874b-638d-46f6-928a-dcf29d46072a,"-75,592205","6,26745",MUR/LWAL/DNO,2,3
68d4d1d5-80a4-42f8-ac53-67369b8e72f2,"-75,592984","6,244038",CR/LFINF/DUC,11,2
746d52df-8ea6-4d72-ae67-2f875d6a67a0,"-75,56265263","6,261919465",MUR/LWAL/DNO,3,2
1bf2d98a-0c1b-4418-8003-e457106ad6ee,"-75,572362","6,289687",CR/LFINF/DNO,3,2
da3a497b-ad82-49ca-a8a8-301470fab3e3,"-75,556836","6,266824",MUR/LWAL/DNO,1,2
4b891737-af8e-4335-b2ed-91524dd3e25f,"-75,559342","6,238328",MUR/LWAL/DNO,1,2
7ac13bc2-c1a9-4135-a2c9-dd52a2d18954,"-75,561357","6,235282",MUR/LWAL/DNO,4,2
df48e57c-7764-4948-bd83-4d470460d5a4,"-75,60277","6,224757",MR/LWAL/DNO,3,2
7837aa55-e1df-4a3a-9445-0c1b9d28e087,"-75,606235","6,211149",CR/LWAL/DUC,17,2
f11d5c56-d4a0-4307-bfac-8c49fba23dc5,"-75,593806","6,222045",MUR/LWAL/DNO,3,2
e8d00a7e-e14f-485b-a747-899848235370,"-75,583966","6,206462",MUR/LWAL/DNO,3,2
00f8eef8-f584-4fcb-beac-31b24c5351da,"-75,590583","6,200269",MUR/LWAL/DNO,3,1
dc5108cc-ead2-48e5-a126-379d3db519f4,"-75,579377","6,188329",CR/LFINF/DUC,26,3
d2f31f49-3a7e-41f4-b602-d52fc78bce2a,"-75,56","6,19",CR/LFINF/DUC,15,3
7a40b9c3-7a0e-4391-a5f1-9e6c72687ffb,"-75,56040273","6,260902489",MUR/LWAL/DNO,1,2
b4bd2ef6-694d-496f-81c6-0bcf34c94276,"-75,55460718","6,262747811",MUR/LWAL/DNO,1,2
87cabbfd-614f-45ce-b791-03f8a4a4969a,"-75,625741","6,256658",MUR/LWAL/DNO,1,1
d85fb7f0-6b6d-4542-be2c-aecf7f82fb1a,"-75,603993","6,229607",MUR/LWAL/DNO,3,3
e2dbdac0-32af-4d1d-be2b-610fdb516f17,"-75,545586","6,244401",MUR/LWAL/DNO,2,1
657700df-e206-4fa2-af83-2cfa72c24143,"-75,611212","6,251824",CR/LFINF/DNO,3,2
0214ab95-ff28-45bd-9a13-95139238a31c,"-75,56","6,18",MUR/LWAL/DNO,2,3
1cd66936-6ce7-4e8e-bbe5-27f9a65cd49e,"-75,567373","6,294018",MR/LWAL/DNO,4,2
fbcd5e3e-8ef9-492d-9c5e-85957b87dfe3,"-75,559622","6,283066",CR/LFINF/DUC,5,2
2a49bb3d-6975-4c8a-b45c-c0efe44e02d1,"-75,556798","6,266612",MUR/LWAL/DNO,2,2
9b21fff1-37c1-4ee8-b78c-a4a68c6c9cb9,"-75,582525","6,243951",MUR/LWAL/DNO,2,3
0cf56971-6864-43b5-a150-24648bcae3bd,"-75,560904","6,228411",MUR/LWAL/DNO,3,1
8d4a3a05-d86c-4727-98b5-2c81bd604e4b,"-75,582855","6,206303",MUR/LWAL/DNO,2,2
f2e992ad-b7a4-43bd-b846-5e92c788288d,"-75,616106","6,275946",MUR/LWAL/DNO,2,1
b6e0cb35-5da0-41d7-9691-7c3fd4b24521,"-75,598293","6,229809",CR/LFINF/DUC,12,2
22cfa363-cce1-4192-97ba-a99df9c34296,"-75,591534","6,226994",CR/LFINF/DNO,3,2
2295977d-d52d-44a2-9300-ae554e40f27d,"-75,602196","6,259617",CR/LFINF/DNO,4,2
219a0257-a491-483b-987c-a6beb11f16cb,"-75,605293","6,25112",CR/LFINF/DNO,3,2
f86d2337-78c7-4d68-b0db-c46df165fec5,"-75,559","6,305911",MUR/LWAL/DNO,2,1
ad2d5f8d-936a-410b-abc1-5c37d1f9d257,"-75,552292","6,278522",MUR/LWAL/DNO,2,1
